34065,CLOUD Telecom,Lisbon,2024-06-02T13:36:02.126201Z,203.46477029397818,16.655,326255808.61212337,667761281.2054521,,185.124.126.15
34065,CLOUD Telecom,Lisbon,2024-06-02T14:36:01.294803Z,203.46477029397818,21.547,182115765.8756964,645757906.3123688,,185.124.126.15
34065,CLOUD Telecom,Lisbon,2024-06-02T15:36:02.324791Z,203.46477029397818,31.17,298523632.4845159,236239560.93692476,,185.124.126.15
34065,CLOUD Telecom,Lisbon,2024-06-02T16:36:01.402776Z,203.46477029397818,15.731,319125513.6308675,181311190.19840497,,185.124.126.15
34065,CLOUD Telecom,Lisbon,2024-06-02T17:36:02.333294Z,203.46477029397818,17.522,291462168.7382572,523465536.66312855,,185.124.126.15
6719,Borecom Networks,Ceutí,2024-06-02T18:36:01.455556Z,612.6060382944937,45.722,172461000.9166541,246612384.45038825,,185.124.126.15
6719,Borecom Networks,Ceutí,2024-06-02T19:36:02.146814Z,612.6060382944937,45.657,107698938.09222001,220744837.20523453,,185.124.126.15
6719,Borecom Networks,Ceutí,2024-06-02T20:36:01.874060Z,612.6060382944937,46.935,75170180.01770386,188834933.7016725,,185.124.126.15
19253,Lazer Telecom,Almancil,2024-06-02T21:36:01.450034Z,7.167647585878823,12.26,415372622.3594419,770663244.3547946,,185.124.126.15
19253,Lazer Telecom,Almancil,2024-06-02T22:36:02.049485Z,7.167647585878823,12.974,623421503.5162171,612044838.9824883,,185.124.126.15
19253,Lazer Telecom,Almancil,2024-06-02T23:36:01.760668Z,7.167647585878823,3.158,698840315.0185838,826197217.7411367,,185.124.126.15
34265,fdcservers.net,Lisbon,2024-06-03T00:36:02.031142Z,203.46477029397818,21.753,540887149.117117,539215535.4875693,,185.124.126.15
34265,fdcservers.net,Lisbon,2024-06-03T01:36:02.122568Z,203.46477029397818,22.679,436248309.6648527,685428665.6820835,,185.124.126.15
34265,fdcservers.net,Lisbon,2024-06-03T02:36:02.014987Z,203.46477029397818,20.406,535802801.1355437,492345440.83437943,,185.124.126.15
